NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
CARYSIL LIMITED,,Simplex Realty Ltd,CARYSIL,503229
Castrol India Limited,,Swan Energy Ltd,CASTROLIND,503310
Consolidated Construction Consortium Limited,,Victoria Mills Ltd,CCCL,503349
Country Club Hospitality & Holidays Limited,,SV Trading & Agencies Ltd ,CCHHL,503622
CCL Products (India) Limited,,Svaraj Trading & Agencies Ltd ,CCL,503624
Central Depository Services (India) Limited,,Kshitij Investments Ltd,CDSL,503626
CEAT Limited,,Shree Salasar Investments Ltd,CEATLTD,503635
Ceigall India Limited,,Indsoya Ltd,CEIGALL,503639
Celebrity Fashions Limited,,Zodiac Ventures Ltd,CELEBRITY,503641
Cello World Limited,,Veer Energy & Infrastructure Ltd,CELLO,503657
Century Enka Limited,,Tilak Ventures Ltd,CENTENKA,503663
Century Extrusions Limited,,Unijolly Investments Company Ltd,CENTEXT,503671
Central Bank of India,,Wagend Infra Venture Ltd,CENTRALBK,503675
Centrum Capital Limited,,EL CID Investments Ltd,CENTRUM,503681
Centum Electronics Limited,,Mediaone Global Entertainment Ltd,CENTUM,503685
Century Plyboards (India) Limited,,Healthy Investments Ltd,CENTURYPLY,503689
Cera Sanitaryware Limited,,Shreenath Investment Company Ltd,CERA,503696
Cerebra Integrated Technologies Limited,,Banswara Syntex Ltd,CEREBRAINT,503722
CESC Limited,,Modella Woollens Ltd,CESC,503772
Concord Enviro Systems Limited,,Modipon Ltd,CEWATER,503776
Capri Global Capital Limited,,Shri Dinesh Mills Ltd,CGCL,503804
CG Power and Industrial Solutions Limited,,SRF Ltd,CGPOWER,503806
Chalet Hotels Limited,,Siyaram Silk Mills Ltd,CHALET,503811
Chambal Fertilizers & Chemicals Limited,,Swadeshi Polytex Ltd,CHAMBLFERT,503816
Chembond Chemicals Ltd,,Shree Rajasthan Syntex Ltd,CHEMBOND,503837
Chemcon Speciality Chemicals Limited,,Shree Manufacturing Company Ltd,CHEMCON,503863
Chemfab Alkalis Limited,,Satyam Silk Mills Ltd,CHEMFAB,503893
Chemplast Sanmar Limited,,Bharat Bijlee Ltd,CHEMPLASTS,503960
Chennai Petroleum Corporation Limited,,Elpro International Ltd,CHENNPETRO,504000
Cheviot Company Limited,,GEE Ltd,CHEVIOT,504028
Choice International Limited,,Hind Rectifiers Ltd,CHOICEIN,504036
